idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
55,https://rarible.com/collection/0x4481507cc228fa19d203bd42110d679571f7912e,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy84MjdiYWU3Yzg5YTE3YWJkZGZkN2I4MzE0NjFhMzIxMy5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Neo Tokyo Outer Citizen V2,1.2K,142.7 ETH,-49.90%,2.45 ETH,rarible,15/12/2023
56,https://rarible.com/collection/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1kRzFzOXd6ZVU3UVpZRWczc2h1ZkpGZW92a2VEdFFTbm5kYVVUVnJkeHhEVw==,ENS domains,712.5K,142.4 ETH,62.20%,~0.001 ETH,rarible,15/12/2023
57,https://rarible.com/kokodinft,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL2hOT3FGZmpUUHoyY3pFMzJDc2VHMGVaOWpEZGVUdnd5UERFYzh2ZlhZci10NTNnWGUzbmFyN3BoS2lwM3BNZmxHeE9ZT3Vjem1TTjJNeWJ1S2M2dnVnWUJlOEJsb0JqNUVPenc2Ukk9czEyMA==,KOKODI,1.8K,142 ETH,2049.80%,0.109 ETH,rarible,15/12/2023
58,https://rarible.com/seedworld-vanguards-revealed,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy81NjQ2ZGE3ODQyZDk5ZjQwYjM0Yzg1YzAwYzAzYWFlYi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Seedworld Vanguards,1.2K,140.4 ETH,-11.70%,0.48 ETH,rarible,15/12/2023
59,https://rarible.com/oh-ottie,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy82NTQwMjZiN2MxNWIxMDA4NTJiZjk3YmU4Nzg3YTNkOS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Oh Ottie!,1.3K,138.1 ETH,70.70%,1.6 ETH,rarible,15/12/2023
60,https://rarible.com/io-imaginary-ones,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL05yUzRVbEs5WnFIMkd1SF9mYUJSdEgyUklsc0hIeTNoOU9tRnBONDZTMVkyZ0g2RjNjQmdaeFpwSi1pdVRkRlpXc1gyTWFITlhhaWdYTGFXdGdwM3p4NFNyUERsRDBDR2oyTDJaczQ9czEyMA==,Imaginary Ones,1.4K,130.6 ETH,-33.50%,1.161 ETH,rarible,15/12/2023
61,https://rarible.com/treeverse,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1lSmNmaHNISHFTSnAzNzV1Q3NrSjhDR0RCbW5GVzdkRmRVVXRhMW5nNGFYOQ==,Treeverse,3.4K,130.5 ETH,-15.90%,0.615 ETH,rarible,15/12/2023
62,https://rarible.com/shrapnel-operators-collection,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWJpZDV1YzJ2aGV4ZDdodmJ4d29sYmNwM3BqY3FvZXllamV4cDQzMmN5b2xuanV6Y290dnk=,Shrapnel Operators Collection,3K,128.8 ETH,-26.60%,0.272 ETH,rarible,15/12/2023
63,https://rarible.com/opensea-shared-storefront-v2,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hRG9aNW5KWXdjcHNLTFZDSFBVMlRNYTh0d0R2ZnNFR015RjlVdWpYZmVyMQ==,OpenSea Shared Storefront,727.8K,125.4 ETH,-14.50%,0 ETH,rarible,15/12/2023
64,https://rarible.com/collection/0xe6b9033a3d2f7f56c74751e458ba435547da1c26,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9mZDVlOGZhNmJiNGUzOWNkZGNkYjRjOWEwYjY4NWM1ZS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Chromie Squiggle by Snowfro,2.9K,124.6 ETH,-51%,8.9 ETH,rarible,15/12/2023
