"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"23","https://opensea.io/collection/futr-one","https://i.seadn.io/gcs/files/f1f7a39135dced852c73788b54553311.webp?auto=format&dpr=1&w=3840","FUTR One By Mintify","547","18 ETH","+2,128%","0.06 ETH"
"21","https://opensea.io/collection/trademark-by-jack-butcher","https://i.seadn.io/s/raw/files/76978409238f7da640912e64ad4574a5.png?auto=format&dpr=1&w=3840","Trademark by Jack Butcher","632","98 ETH","-54%","0.12 ETH"
"18","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","769","362 ETH","-68%","0.50 ETH"
"19","https://opensea.io/collection/y00ts","https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840","y00ts","731","373 ETH","-35%","0.55 ETH"
"17","https://opensea.io/collection/proof-moonbirds","https://i.seadn.io/gcs/files/4bce6187fea476154b311dafaf327c89.png?auto=format&dpr=1&w=3840","Moonbirds","840","1,371 ETH","+75%","1.39 ETH"
"12","https://opensea.io/collection/overworld-incarna","https://i.seadn.io/s/raw/files/d67e16753135e677c05077781003de5b.jpg?auto=format&dpr=1&w=3840","OVERWORLD INCARNA","1,125","2,248 ETH","+26%","2.30 ETH"
"14","https://opensea.io/collection/skyborne-nexiangems","https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840","Skyborne - Nexian Gems","1,061","823 ETH","+222%","1.30 ETH"
"15","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","910","65 ETH","-15%","0.02 ETH"
"13","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","1,076","5,619 ETH","-6%","5.35 ETH"
"24","https://opensea.io/collection/bonigo-genesis","https://i.seadn.io/s/raw/files/c128777a95e8a9d2502d583d0108416d.gif?auto=format&dpr=1&w=3840","BONIGO","534","14 ETH","-95%","0.03 ETH"
"28","https://opensea.io/collection/nakamigos-cloaks","https://i.seadn.io/gcs/files/777e28922e6c3cabf9e0786fd76c1118.png?auto=format&dpr=1&w=3840","Nakamigos-CLOAKS","480","26 ETH","+230%","0.03 ETH"
"32","https://opensea.io/collection/shrapnel-operators-collection","https://i.seadn.io/gae/N-0Ykz_InP31IMCnBV4gXAjPfXbkoOmENXGZjKRdK6mo2dO-hRcAHHPyQ-oBLcQMgWwzmh06GHeJ5U0yib3IDE9ekrvVc_-qlOWK?auto=format&dpr=1&w=3840","Shrapnel Operators Collection","442","117 ETH","-29%","0.27 ETH"
"36","https://opensea.io/collection/kitaroworld","https://i.seadn.io/gcs/files/495e3fc34c22c8e6e446ddcad5549cf7.gif?auto=format&dpr=1&w=3840","Kitaro World","375","96 ETH","+100%","0.19 ETH"
