"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"88","https://opensea.io/collection/ens","https://i.seadn.io/gae/0cOqWoYA7xL9CkUjGlxsjreSYBdrUBE0c6EO1COG4XE8UeP-Z30ckqUNiL872zHQHQU5MUNMNhfDpyXIP17hRSC5HQ?auto=format&dpr=1&w=3840","ENS: Ethereum Name Service","155","49 ETH","-42%","< 0.01 ETH"
"90","https://opensea.io/collection/tiny-dinos-eth","https://i.seadn.io/gae/ZoC0EZPOaQeMGdAmqXh-PbOqEdrINf37NnD7wxI8FRa0Ymt8corMCzOP0xMPXjx2P12cvB6pDLWWnPSFJ1cOwbjqZc2_c3haN3n_8A?auto=format&dpr=1&w=3840","tiny dinos (eth)","152","11 ETH","-89%","0.05 ETH"
"91","https://opensea.io/collection/sappy-seals","https://i.seadn.io/gcs/files/11570389cac190891fea96fe285cbf01.png?auto=format&dpr=1&w=3840","Sappy Seals","150","104 ETH","-65%","0.63 ETH"
"89","https://opensea.io/collection/bored-ape-kennel-club","https://i.seadn.io/gcs/files/c4dfc6be4d9c5d4f073de2efe181416a.jpg?auto=format&dpr=1&w=3840","Bored Ape Kennel Club","152","249 ETH","-35%","1.62 ETH"
"87","https://opensea.io/collection/otherside-koda","https://i.seadn.io/gcs/files/adeb11bcd531b77f55ce10c217e50841.jpg?auto=format&dpr=1&w=3840","Otherside Koda","158","813 ETH","+132%","3.90 ETH"
"85","https://opensea.io/collection/binary1010-brx","https://i.seadn.io/gcs/files/39bce329ecb85bb34f792ba9ca9acc3b.gif?auto=format&dpr=1&w=3840","Binary: DEX","161","11 ETH","-69%","0.05 ETH"
"82","https://opensea.io/collection/pixl-pets-genesis","https://i.seadn.io/gcs/files/40c9c96028894bd95ba5385aa3561c21.png?auto=format&dpr=1&w=3840","Pixl Pets - Genesis Collection","172","18 ETH","+60%","0.11 ETH"
"83","https://opensea.io/collection/everai","https://i.seadn.io/gcs/files/dd7a5edab7839eb54499af23edad456e.png?auto=format&dpr=1&w=3840","Everai","164","20 ETH","+1,002%","0.12 ETH"
"81","https://opensea.io/collection/kandyland","https://i.seadn.io/gcs/files/03d5a20b69810eac5fe758fc832e8705.png?auto=format&dpr=1&w=3840","Kandyland","173","8 ETH","+616%","0.04 ETH"
"80","https://opensea.io/collection/valhalla-crates","https://i.seadn.io/gcs/files/e06318a0c004df84e82fa760dfa67a61.png?auto=format&dpr=1&w=3840","Valhalla Crates","174","0.67 ETH","+330%","< 0.01 ETH"
"88","https://opensea.io/collection/ens","https://i.seadn.io/gae/0cOqWoYA7xL9CkUjGlxsjreSYBdrUBE0c6EO1COG4XE8UeP-Z30ckqUNiL872zHQHQU5MUNMNhfDpyXIP17hRSC5HQ?auto=format&dpr=1&w=3840","ENS: Ethereum Name Service","155","49 ETH","-42%","< 0.01 ETH"
"92","https://opensea.io/collection/particle-pack","https://i.seadn.io/s/raw/files/154d22c30b701affb312b7ce531809cb.png?auto=format&dpr=1&w=3840","pARticle pack","149","17 ETH","+132%","0.12 ETH"
"96","https://opensea.io/collection/nakamigos-cloaks","https://i.seadn.io/gcs/files/777e28922e6c3cabf9e0786fd76c1118.png?auto=format&dpr=1&w=3840","Nakamigos-CLOAKS","142","6 ETH","-49%","0.03 ETH"
"98","https://opensea.io/collection/timelessnfts","https://i.seadn.io/gcs/files/151bad2b97159b07aa18eef324681b94.png?auto=format&dpr=1&w=3840","Timeless Characters","138","41 ETH","-49%","0.30 ETH"
"99","https://opensea.io/collection/rtfkt-animus-egg","https://i.seadn.io/gcs/files/44e8866f6b904542b7bb59dc12af64f2.gif?auto=format&dpr=1&w=3840","RTFKT Animus Egg 🥚","138","37 ETH","-4%","0.27 ETH"
"100","https://opensea.io/collection/perils-of-sese-by-all-seeing-seneca","https://i.seadn.io/s/raw/files/56e504c0ad178b8fcc71666d07aa4cb1.png?auto=format&dpr=1&w=3840","Perils of Sēsē by All Seeing Seneca","138","11 ETH","-69%","0.06 ETH"
"97","https://opensea.io/collection/kaiju-kingz","https://i.seadn.io/gae/80yXYN287mZWxZhcBImQes5pVi19Tm5X9q2xj6DU2o_WUJKB1AybLpiFv2nL2WL00c3idD_XAL12wZLKsV1jzL8x2fTYlakHZg3JxA?auto=format&dpr=1&w=3840","Kaiju Kingz","141","23 ETH","-11%","0.09 ETH"
"94","https://opensea.io/collection/sproto-gremlins","https://i.seadn.io/gcs/files/8a1b2a16ab83828fe3164cbc1da63cb3.gif?auto=format&dpr=1&w=3840","Sproto Gremlins","146","90 ETH","+20%","0.56 ETH"
"95","https://opensea.io/collection/treeverse-plots","https://i.seadn.io/gcs/files/13d771dac2ff1944a8446ddeb5f32f44.jpg?auto=format&dpr=1&w=3840","Treeverse Plots","144","100 ETH","-70%","0.71 ETH"
"93","https://opensea.io/collection/ruggenesis-nft","https://i.seadn.io/gae/I4Jd-ET3UY7eKLYeC7WxrmJTsyxrsXHG0Zg_Yqif0vpFhO9oA6fMdzHX6ze0g4nzSFsjP7RZSyDMPUdeuJxDCjPx9moPzPJkqeVBeco?auto=format&dpr=1&w=3840","Rug Radio - Genesis NFT","147","26 ETH","-82%","0.16 ETH"
"90","https://opensea.io/collection/tiny-dinos-eth","https://i.seadn.io/gae/ZoC0EZPOaQeMGdAmqXh-PbOqEdrINf37NnD7wxI8FRa0Ymt8corMCzOP0xMPXjx2P12cvB6pDLWWnPSFJ1cOwbjqZc2_c3haN3n_8A?auto=format&dpr=1&w=3840","tiny dinos (eth)","152","11 ETH","-89%","0.05 ETH"
"91","https://opensea.io/collection/sappy-seals","https://i.seadn.io/gcs/files/11570389cac190891fea96fe285cbf01.png?auto=format&dpr=1&w=3840","Sappy Seals","150","104 ETH","-65%","0.63 ETH"
"89","https://opensea.io/collection/bored-ape-kennel-club","https://i.seadn.io/gcs/files/c4dfc6be4d9c5d4f073de2efe181416a.jpg?auto=format&dpr=1&w=3840","Bored Ape Kennel Club","152","249 ETH","-35%","1.62 ETH"
"84","https://opensea.io/collection/veefriends-series-2","https://i.seadn.io/gae/LrXPPC-y_I4qu9Y1PytwmYUUn7WVu9bXJDUFwKZYzmGuXzdNz41eINzOGOZHKmjv1aFtn5GPqKPk1RJd-Tjkv9CPIG32EG9ygGtJeOk?auto=format&dpr=1&w=3840","VeeFriends Series 2","164","18 ETH","+9%","0.10 ETH"
"64","https://opensea.io/collection/cool-cats-nft","https://i.seadn.io/gae/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8?auto=format&dpr=1&w=3840","Cool Cats","221","226 ETH","-10%","1.05 ETH"
"72","https://opensea.io/collection/chronoforge-support-airships","https://i.seadn.io/s/raw/files/f9fd69f0ef630b0524a97212dfd71fb5.png?auto=format&dpr=1&w=3840","ChronoForge Support Airships","194","60 ETH","-39%","0.28 ETH"
"48","https://opensea.io/collection/trainersgen1","https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840","Pixelmon Trainers - Generation 1","300","137 ETH","-52%","0.44 ETH"
"64","https://opensea.io/collection/cool-cats-nft","https://i.seadn.io/gae/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8?auto=format&dpr=1&w=3840","Cool Cats","221","226 ETH","-10%","1.05 ETH"
"48","https://opensea.io/collection/trainersgen1","https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840","Pixelmon Trainers - Generation 1","300","137 ETH","-52%","0.44 ETH"
"32","https://opensea.io/collection/kitaroworld","https://i.seadn.io/gcs/files/495e3fc34c22c8e6e446ddcad5549cf7.gif?auto=format&dpr=1&w=3840","Kitaro World","426","104 ETH","+199%","0.27 ETH"
"32","https://opensea.io/collection/kitaroworld","https://i.seadn.io/gcs/files/495e3fc34c22c8e6e446ddcad5549cf7.gif?auto=format&dpr=1&w=3840","Kitaro World","426","104 ETH","+199%","0.27 ETH"
"16","https://opensea.io/collection/y00ts","https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840","y00ts","828","428 ETH","-24%","0.44 ETH"
"16","https://opensea.io/collection/y00ts","https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840","y00ts","828","428 ETH","-24%","0.44 ETH"
"20","https://opensea.io/collection/parallelalpha","https://i.seadn.io/gae/Nnp8Pdo6EidK7eBduGnAn_JBvFsYGhNGMJ_fHJ_mzGMN_2Khu5snL5zmiUMcSsIqtANh19KqxXDs0iNq_aYbKC5smO3hiCSw9PlL?auto=format&dpr=1&w=3840","Parallel Alpha","654","53 ETH","+3%","< 0.01 ETH"
"16","https://opensea.io/collection/y00ts","https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840","y00ts","828","428 ETH","-24%","0.44 ETH"
"20","https://opensea.io/collection/parallelalpha","https://i.seadn.io/gae/Nnp8Pdo6EidK7eBduGnAn_JBvFsYGhNGMJ_fHJ_mzGMN_2Khu5snL5zmiUMcSsIqtANh19KqxXDs0iNq_aYbKC5smO3hiCSw9PlL?auto=format&dpr=1&w=3840","Parallel Alpha","654","53 ETH","+3%","< 0.01 ETH"
"21","https://opensea.io/collection/pixelmongen1","https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840","Pixelmon - Generation 1","639","1,379 ETH","-31%","2.00 ETH"
"18","https://opensea.io/collection/aligndraw","https://raw.seadn.io/files/6b7711fd3dce6d73bc44416014c0100e.svg","alignDRAW","782","201 ETH","+20,129%","0.17 ETH"
"19","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","720","4,402 ETH","+21%","5.79 ETH"
"17","https://opensea.io/collection/clonex","https://i.seadn.io/gae/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg?auto=format&dpr=1&w=3840","CLONE X - X TAKASHI MURAKAMI","818","1,172 ETH","+0.91%","1.27 ETH"
"8","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","1,313","97 ETH","+78%","0.08 ETH"
"12","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","1,003","536 ETH","-52%","0.57 ETH"
"14","https://opensea.io/collection/trademark-by-jack-butcher","https://i.seadn.io/s/raw/files/76978409238f7da640912e64ad4574a5.png?auto=format&dpr=1&w=3840","Trademark by Jack Butcher","903","156 ETH","-67%","0.14 ETH"
"15","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","902","91 ETH","+1,053%","0.12 ETH"
"13","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","905","2,601 ETH","-34%","2.78 ETH"
"10","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","1,079","5,768 ETH","+2%","5.32 ETH"
"11","https://opensea.io/collection/skyborne-nexiangems","https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840","Skyborne - Nexian Gems","1,022","548 ETH","+369%","0.74 ETH"
"9","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","1,267","68 ETH","-35%","0.02 ETH"
"4","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","2,159","1,156 ETH","+53%","0.45 ETH"
"6","https://opensea.io/collection/lilpudgys","https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840","Lil Pudgys","1,566","1,591 ETH","-61%","0.94 ETH"
