idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
86,https://www.binance.com/vi/nft/collection/win-nft-hero-618017322892853248?isBack=1,,WIN NFT HERO,"2,932",6.24 BNB,29.31,0.01 BNB,binance,15/12/2023
87,https://www.binance.com/vi/nft/collection/mutant-hounds-666139648539058177?isBack=1,,Mutant Hounds,5,13.26 ETH,-43,0.12 ETH,binance,15/12/2023
88,https://www.binance.com/vi/nft/collection/sappy-seals-640794269434580993?isBack=1,,Sappy Seals,"1,896",61.49 ETH,-54.72,0.6 ETH,binance,15/12/2023
89,https://www.binance.com/vi/nft/collection/kubz-662917212174016513?isBack=1,,Kubz,"1,859",33.71 ETH,-13.11,0.39 ETH,binance,15/12/2023
90,https://www.binance.com/vi/nft/collection/0xapes-trilogy-640795937085231105?isBack=1,,0xApes Trilogy,--,2.09 ETH,"1,736.26",< 0.01 ETH,binance,15/12/2023
91,https://www.binance.com/vi/nft/collection/dudulab-project-709804629898178561?isBack=1,,DuDuLab Project,"2,410",1.93 ETH,"10,982.78",< 0.01 ETH,binance,15/12/2023
92,https://www.binance.com/vi/nft/collection/mavia-land-nfts-548137737250500609?isBack=1,,Mavia Land NFTs,119,71.93 ETH,-22.57,0.8 ETH,binance,15/12/2023
93,https://www.binance.com/vi/nft/collection/rektguy-640795517396324353?isBack=1,,rektguy,"3,424",36.39 ETH,12.12,0.4 ETH,binance,15/12/2023
94,https://www.binance.com/vi/nft/collection/0n1-force-642353810240229377?isBack=1,,0N1 Force,"3,623",83.47 ETH,-70.27,0.8 ETH,binance,15/12/2023
95,https://www.binance.com/vi/nft/collection/alices-farm-halloween-party-150102400395763712?isBack=1,,Alice’s Farm Halloween Party,"8,517",0.62 BNB,723.52,< 0.01 BNB,binance,15/12/2023
96,https://www.binance.com/vi/nft/collection/metacene-apostle-nft-737448009817190401?isBack=1,,Metacene Apostle NFT,--,68.27 ETH,179.52,1.31 ETH,binance,15/12/2023
97,https://www.binance.com/vi/nft/collection/rug-radio--genesis-nft-640793984944443393?isBack=1,,Rug Radio - Genesis NFT,"2,101",12.74 ETH,-81.37,0.16 ETH,binance,15/12/2023
98,https://www.binance.com/vi/nft/collection/mfers-619382785107288064?isBack=1,,mfers,"5,694",56 ETH,-36.74,0.65 ETH,binance,15/12/2023
99,https://www.binance.com/vi/nft/collection/mocaverse-687588315884740608?isBack=1,,Mocaverse,"2,098",279.69 ETH,-51.31,3.88 ETH,binance,15/12/2023
100,https://www.binance.com/vi/nft/collection/akutar-576682691089682433?isBack=1,,Akutar,"4,983",6.7 ETH,60.67,0.06 ETH,binance,15/12/2023
